Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,relu,256,2,0.1,0.0001,100,7.427233695983887,2.7252951575900703,2.059983968734741,11.30654513835907,0.8030307292938232
64,leaky_relu,384,3,0.1,0.0001,100,7.436391830444336,2.726974849617124,2.0408196449279785,11.305059492588043,0.8027878403663635
64,elu,192,3,0.1,0.0005,100,7.4816389083862305,2.73525847195219,2.0503299236297607,11.585726588964462,0.8015878796577454
32,elu,256,3,0.1,0.0005,100,7.483110427856445,2.7355274496623947,2.0511436462402344,11.630281060934067,0.8015488386154175
64,elu,192,2,0.1,0.0005,100,7.501108646392822,2.7388151902588866,2.0662922859191895,11.77138015627861,0.8010715246200562
64,leaky_relu,192,3,0.1,0.0003,100,7.507074356079102,2.739904077897455,2.058420181274414,11.333898454904556,0.8009133338928223
32,leaky_relu,384,3,0.1,0.0001,100,7.528504848480225,2.743812101525945,2.053908348083496,11.385345458984375,0.8003450036048889
64,relu,192,3,0.2,0.0003,100,7.532657623291016,2.7445687499661973,2.077781915664673,11.377981305122375,0.8002349138259888
32,elu,256,2,0.1,0.0003,100,7.5373921394348145,2.7454311390808575,2.0663247108459473,11.72211840748787,0.800109326839447
32,leaky_relu,256,3,0.1,0.0001,100,7.53812837600708,2.7455652197693428,2.0479061603546143,11.339583992958069,0.8000897765159607
32,leaky_relu,192,3,0.1,0.0001,100,7.572091102600098,2.751743284283637,2.058250665664673,11.43997386097908,0.7991890907287598
64,relu,256,3,0.1,0.0001,100,7.58184814453125,2.7535155972921688,2.089046001434326,11.606703698635101,0.7989303469657898
32,leaky_relu,256,2,0.1,0.0001,100,7.602141857147217,2.7571981896750217,2.080413579940796,11.513722687959671,0.7983921766281128
32,relu,256,3,0.2,0.0001,100,7.6187334060668945,2.760205319549054,2.078428268432617,11.446341872215271,0.7979521751403809
32,leaky_relu,192,3,0.2,0.0003,100,7.634281635284424,2.7630203827124444,2.084165334701538,11.47502213716507,0.7975398302078247
64,elu,384,3,0.1,0.0005,100,7.666818141937256,2.768901974057091,2.092015027999878,11.797302216291428,0.7966769933700562
32,relu,384,3,0.2,0.0001,100,7.690263748168945,2.7731324793757954,2.088841438293457,11.526645720005035,0.7960551977157593
64,leaky_relu,384,3,0.2,0.0001,100,7.694096088409424,2.773823370081344,2.086167097091675,11.574315279722214,0.7959535717964172
64,relu,384,2,0.1,0.0001,100,7.699286460876465,2.7747588112981036,2.0861735343933105,11.528114974498749,0.7958159446716309
32,relu,256,2,0.2,0.0001,100,7.7625346183776855,2.786132555780088,2.103668689727783,11.677935719490051,0.7941385507583618
64,elu,384,2,0.1,0.0003,100,7.794623851776123,2.7918853579214393,2.102762222290039,11.934380978345871,0.7932875752449036
32,relu,384,2,0.1,0.0001,100,7.807322978973389,2.7941587247279616,2.111966609954834,11.61649376153946,0.7929508090019226
32,relu,192,3,0.1,0.0001,100,7.823513031005859,2.797054348954603,2.0958828926086426,11.588803678750992,0.7925214171409607
32,leaky_relu,256,3,0.2,0.0001,100,7.847973346710205,2.8014234500892945,2.1152400970458984,11.653395742177963,0.7918727397918701
32,relu,192,3,0.2,0.0001,100,7.937407493591309,2.8173405001155447,2.1255130767822266,11.7552749812603,0.7895009517669678
64,leaky_relu,384,2,0.2,0.0001,100,7.9528303146362305,2.8200762958892143,2.1272482872009277,11.788633465766907,0.789091944694519
