Neighbors,Weights,Leaf_Size,P,MSE,RMSE,MAE,MAPE,R²
35,uniform,30,1,15.226295693749199,3.9020886322262336,3.094085804132974,0.17763954685821826,0.5962005907422612
35,uniform,10,1,15.230046025328372,3.9025691570205865,3.0936844863731654,0.17762520150080144,0.5961011324297044
35,uniform,20,1,15.231476338082402,3.902752405429071,3.0937069481880806,0.17762639961748158,0.5960632007188833
35,uniform,50,2,15.414462456680788,3.9261256292534488,3.1222431865828093,0.1779436067515187,0.5912104323188365
35,uniform,30,2,15.414462456680788,3.9261256292534488,3.1222431865828093,0.1779436067515187,0.5912104323188365
35,uniform,40,2,15.414462456680788,3.9261256292534488,3.1222431865828093,0.1779436067515187,0.5912104323188365
35,uniform,20,2,15.418191528686945,3.9266005053591773,3.1229454926624736,0.17802424308754505,0.5911115378074299
35,uniform,10,2,15.423571835023317,3.9272855555743993,3.1228616352201257,0.17802339659858676,0.5909688527733317
40,uniform,10,1,15.61309655562107,3.9513411084872274,3.136849449685535,0.18060002915098716,0.5859426814867378
40,uniform,20,1,15.617014526008909,3.9518368546802267,3.137682783018868,0.18065296358871208,0.5858387774144723
40,uniform,40,1,15.624619734342243,3.952798974694039,3.1383759171907757,0.18067902321493698,0.5856370882647244
40,uniform,50,1,15.624619734342243,3.952798974694039,3.1383759171907757,0.18067902321493698,0.5856370882647244
40,uniform,30,1,15.624619734342243,3.952798974694039,3.1383759171907757,0.18067902321493698,0.5856370882647244
40,uniform,30,2,15.796350568330713,3.974462299271527,3.1654579402515726,0.18116398401571318,0.5810828085692138
40,uniform,40,2,15.796350568330713,3.974462299271527,3.1654579402515726,0.18116398401571318,0.5810828085692138
40,uniform,50,2,15.796350568330713,3.974462299271527,3.1654579402515726,0.18116398401571318,0.5810828085692138
40,uniform,10,2,15.799685295466457,3.974881796414386,3.1656092767295596,0.18115953747684818,0.5809943720332018
40,uniform,20,2,15.802664154219077,3.975256489110995,3.1663325471698114,0.18120015870828432,0.5809153730810757
